Date,Longitude,Latitude,Depth,Magnitude
03/12/2022 07:37:37,36.259,37.143,6.86,2
02/12/2022 22:53:12,36.907,37.351,7,2.2
01/12/2022 07:43:51,36.404,37.42,6.68,2.4
29/11/2022 23:06:25,37.201,37.406,7.02,2.3
28/11/2022 23:06:27,39.209,38.45,7.06,2
28/11/2022 23:04:31,39.21,38.454,7,3
28/11/2022 13:36:52,39.172,37.143,12.65,2.3
24/11/2022 16:44:51,39.182,38.391,6.72,2
23/11/2022 17:13:46,38.573,38.193,7,2.4
23/11/2022 14:19:30,38.575,38.184,10.11,3.1
23/11/2022 03:34:31,39.219,38.424,7,2.1
22/11/2022 18:09:24,36.42,36.406,6.5,2.5
21/11/2022 21:54:53,38.773,38.281,7,2.3
21/11/2022 08:44:11,37.624,37.054,11.2,2
19/11/2022 09:24:33,38.6,35.839,9.59,2.2
18/11/2022 14:11:13,35.592,36.478,6.98,2.4
17/11/2022 01:53:12,36.378,37.248,8.31,3.1
16/11/2022 20:40:19,36.433,37.207,7.1,2.5
16/11/2022 20:40:08,36.434,37.229,7,2.3
14/11/2022 18:42:01,38.806,38.258,8.31,2.9
12/11/2022 16:13:29,37.201,37.436,7,2.7
11/11/2022 12:25:45,37.906,37.907,7,2
10/11/2022 21:38:52,39.246,38.434,6.08,2.7
08/11/2022 23:44:25,38.773,38.244,9.08,2.8
08/11/2022 12:19:33,37.534,36.763,6.74,2.2
08/11/2022 04:13:13,38.57,37.741,13.4,2.1
07/11/2022 06:48:09,36.479,36.439,7.29,2
06/11/2022 08:37:56,39.335,38.478,7.74,2.3
05/11/2022 23:20:00,38.578,38.208,11.31,2.2
05/11/2022 21:25:42,36.989,37.436,4.89,2.1
05/11/2022 11:52:28,37.207,37.41,9.69,2
05/11/2022 08:56:15,38.713,37.099,6.72,2
05/11/2022 02:36:28,36.246,37.304,9.14,2.2
04/11/2022 15:06:13,37.209,37.402,7,2.2
02/11/2022 13:23:10,37.401,37.878,12.19,2.4
02/11/2022 12:23:39,37.409,37.888,8.37,2.2
02/11/2022 11:16:27,37.41,37.869,11.3,3.3
02/11/2022 05:52:55,36.087,37.376,7.07,2.4
31/10/2022 18:34:25,38.654,38.268,11.27,4.1
31/10/2022 13:33:01,40.25,36.411,6.99,2.2
30/10/2022 17:22:05,37.418,35.328,7.4,2.4
29/10/2022 23:32:31,38.689,38.189,7.06,2.5
29/10/2022 08:04:51,37.19,37.402,7.9,2.5
29/10/2022 05:29:36,38.668,38.226,7,2.6
29/10/2022 04:13:40,37.189,37.412,7.67,3.1
28/10/2022 22:13:25,37.215,37.422,7,2.6
28/10/2022 19:16:10,38.809,38.269,5.14,4.1
28/10/2022 14:13:51,38.802,38.255,8.07,2.3
28/10/2022 04:26:05,36.293,37.318,7.15,2.1
27/10/2022 08:59:32,38.809,36.972,7,2
27/10/2022 01:02:51,36.018,36.876,7,3.2
24/10/2022 20:33:28,38.24,38.039,7,2
24/10/2022 18:39:40,36.019,36.254,6.99,2.1
24/10/2022 17:35:18,39.159,38.45,7,2
23/10/2022 13:58:58,37.215,37.423,7,2.6
23/10/2022 11:12:55,37.219,37.402,7,2.1
23/10/2022 08:28:29,37.21,37.425,7.82,2.5
21/10/2022 18:13:21,37.202,37.422,9.22,2.1
21/10/2022 07:49:37,37.219,37.418,8.25,3.4
21/10/2022 00:24:29,38.777,38.24,7,2.6
20/10/2022 21:59:06,37.194,37.408,7.5,2.6
20/10/2022 20:24:42,37.225,37.418,5.69,2.1
20/10/2022 20:20:05,37.271,37.385,20.65,2
20/10/2022 19:57:58,37.216,37.421,7.59,2
20/10/2022 19:37:11,37.219,37.418,7,2.1
20/10/2022 17:51:59,37.206,37.427,7,2
20/10/2022 17:50:35,37.224,37.393,7,2
20/10/2022 17:33:07,37.205,37.385,9.34,2.2
20/10/2022 17:14:02,37.206,37.416,5.28,4.3
20/10/2022 16:55:54,37.218,37.422,7.01,2.3
20/10/2022 16:04:27,37.206,37.425,7,2
20/10/2022 15:51:52,36.529,37.443,7,2
20/10/2022 13:42:13,37.218,37.419,8.73,2.8
20/10/2022 13:17:48,37.177,37.44,7,2.4
20/10/2022 12:51:10,37.194,37.392,10.97,2.1
20/10/2022 12:46:01,37.213,37.406,7.99,3.1
20/10/2022 12:19:01,37.189,37.408,9.07,2.3
20/10/2022 12:13:12,37.201,37.41,8.35,2.2
20/10/2022 12:05:33,37.203,37.419,8.68,3.2
20/10/2022 11:54:02,37.19,37.425,4.37,2
20/10/2022 11:34:59,37.193,37.407,7.64,4.5
20/10/2022 08:31:08,36.257,37.319,7.23,2.3
19/10/2022 12:04:49,38.641,36.537,15,2
18/10/2022 17:17:03,39.249,38.442,7.03,3.5
18/10/2022 05:32:48,39.095,38.369,7.45,3.8
18/10/2022 03:31:21,39.073,38.377,7,3.9
17/10/2022 23:16:23,36.059,36.994,12.76,3.4
17/10/2022 23:09:27,36.05,36.991,7,2.2
16/10/2022 10:35:16,38.621,38.288,12.17,2.9
16/10/2022 09:28:41,38.612,38.292,13.58,2.6
16/10/2022 09:24:24,38.616,38.286,12.7,3.3
15/10/2022 21:13:34,36.287,37.311,6.97,2.6
14/10/2022 07:37:43,36.985,37.674,7,2
14/10/2022 06:34:52,36.217,37.273,7.11,2
13/10/2022 21:12:21,38.904,36.889,7.96,2
13/10/2022 19:41:50,36.283,37.31,7,2
12/10/2022 23:07:53,36.27,37.31,7,2.5
12/10/2022 23:04:25,36.258,37.326,7,3.9
12/10/2022 20:01:09,39.131,38.373,9.88,2
12/10/2022 10:45:23,39.244,38.422,7,2
12/10/2022 03:54:46,36.278,37.311,6.86,2.1
12/10/2022 03:53:09,36.287,37.286,7.01,2
11/10/2022 20:25:35,36.969,37.463,7,2
11/10/2022 18:46:08,36.292,37.323,7,2.1
11/10/2022 17:23:48,36.272,37.295,7,2.6
