Date,Longitude,Latitude,Depth,Magnitude
06/02/2023 17:19:07,37.862,38.121,7.09,4
06/02/2023 17:16:16,36.456,38.054,6.96,3.9
06/02/2023 17:11:47,37.437,38.072,3.13,4.4
06/02/2023 17:04:42,37.591,38.024,7,3.5
06/02/2023 17:01:18,36.871,38.125,7.01,4
06/02/2023 16:55:34,37.392,38.021,7.06,4.5
06/02/2023 16:53:44,36.578,38.048,7.63,4
06/02/2023 16:51:56,37.58,38.019,7.04,4
06/02/2023 16:49:19,38.176,38.264,6.94,4
06/02/2023 16:46:38,36.498,38.043,7.19,4.5
06/02/2023 16:43:27,36.472,38.024,10.06,5.1
06/02/2023 16:35:16,39.091,38.241,7,4.5
06/02/2023 16:32:12,37.561,37.852,7,3.8
06/02/2023 16:32:11,36.424,36.69,10.18,4.7
06/02/2023 16:28:08,36.875,37.381,7,4.6
06/02/2023 16:26:39,36.374,38.044,6.99,4.8
06/02/2023 16:25:00,36.458,38.053,10.59,4.1
06/02/2023 16:22:44,36.487,38.009,7.16,4
06/02/2023 16:21:45,36.47,38.061,7.01,4.1
06/02/2023 16:12:56,36.921,37.37,6.95,3.9
06/02/2023 16:10:37,37.201,38.09,7,3.8
06/02/2023 16:07:48,38.169,38.25,4.01,4.1
06/02/2023 16:06:41,37.001,38.074,7.01,4.1
06/02/2023 16:02:14,37.422,38.002,4.02,4.1
06/02/2023 15:59:25,37.578,38.002,7.05,4.2
06/02/2023 15:54:05,37.093,37.272,7,3.5
06/02/2023 15:52:42,37.804,37.873,7,4
06/02/2023 15:51:21,37.783,38.119,7,4.1
06/02/2023 15:49:46,36.86,38.108,7.78,3.7
06/02/2023 15:48:02,36.617,37.956,12.7,3.9
06/02/2023 15:44:07,36.585,38.061,6.21,4.4
06/02/2023 15:40:00,36.638,37.907,5.6,4.7
06/02/2023 15:38:03,37.665,37.834,0.43,4.6
06/02/2023 15:33:31,38.182,38.239,11.15,5.3
06/02/2023 15:27:21,37.136,38.04,7,3.7
06/02/2023 15:22:12,37.834,38.038,7,3.7
06/02/2023 15:21:32,37.237,37.555,6.12,4.1
06/02/2023 15:20:13,37.859,38.146,6.99,3.9
06/02/2023 15:14:32,37.667,37.977,7.04,5
06/02/2023 15:10:42,36.529,38.05,6.89,3.9
06/02/2023 15:08:06,37.654,37.962,14.34,4.2
06/02/2023 15:03:43,36.639,37.077,6.97,3.6
06/02/2023 15:01:23,36.629,38.027,7.12,4
06/02/2023 14:57:45,37.833,38.109,7,4.4
06/02/2023 14:55:34,37.865,38.135,9.09,4.2
06/02/2023 14:53:50,36.593,36.874,5.56,4
06/02/2023 14:51:15,38.491,38.008,7.2,4.4
06/02/2023 14:48:25,36.39,38.077,6.98,3.5
06/02/2023 14:41:56,37.908,38.143,6.26,4.1
06/02/2023 14:41:40,36.311,37.122,6.75,3.8
06/02/2023 14:37:54,36.61,36.949,6.8,4.1
06/02/2023 14:33:05,37.908,38.043,7.43,4.1
06/02/2023 14:29:57,36.42,37.962,7.02,4.7
06/02/2023 14:27:43,36.51,36.853,9.17,4.7
06/02/2023 14:27:09,37.701,38.145,6.22,3.5
06/02/2023 14:24:49,37.184,37.514,7,4
06/02/2023 14:23:29,37.661,38.026,6.8,3.6
06/02/2023 14:22:39,38.119,38.327,6.87,3.8
06/02/2023 14:20:49,38.216,38.24,6.98,4.1
06/02/2023 14:17:16,37.541,37.984,7.47,4.1
06/02/2023 14:14:51,36.873,37.456,7.18,4.2
06/02/2023 14:11:03,39.425,38.191,7.23,3.9
