Date,Longitude,Latitude,Depth,Magnitude
26/07/2023 16:25:15,36.952,38.096,10.4,3.9
26/07/2023 13:44:10,37.243,38.274,7.17,3.6
26/07/2023 10:55:17,35.872,37.609,10.42,3.7
26/07/2023 01:10:11,38.586,37.964,5.19,3.7
25/07/2023 07:57:54,35.888,37.59,9.06,4.4
25/07/2023 07:48:33,35.889,37.635,7,3.9
25/07/2023 07:33:18,35.883,37.607,6.88,3.5
25/07/2023 05:44:49,35.884,37.634,10.38,5.5
24/07/2023 22:39:32,37.763,38.038,11.72,3.8
23/07/2023 21:22:11,37.371,38.326,4.39,3.5
23/07/2023 10:48:37,37.277,38.19,8.76,4
22/07/2023 14:43:09,37.63,38.043,7.05,4.2
22/07/2023 10:37:11,36.239,37.852,7,3.9
22/07/2023 02:43:33,38.15,38.316,13.12,3.7
21/07/2023 23:03:18,38.594,38.135,7,3.9
21/07/2023 11:23:24,37.256,38.176,5.55,4
19/07/2023 03:05:47,38.175,38.164,7.01,3.5
17/07/2023 02:39:55,37.399,38.165,7,3.5
15/07/2023 17:32:48,37.408,38.019,7,3.9
13/07/2023 12:32:21,37.208,38.289,12.44,3.8
09/07/2023 02:27:35,36.359,37.973,7,3.6
07/07/2023 18:38:43,37.449,38.023,7.56,3.5
05/07/2023 05:55:12,36.633,38.034,6.97,3.6
03/07/2023 06:31:50,35.888,36.104,23.45,3.6
02/07/2023 10:15:59,36.138,36.181,7,3.7
01/07/2023 12:04:12,37.356,38.025,7.01,3.5
01/07/2023 01:00:06,36.569,38,5.52,3.9
30/06/2023 04:12:55,36.381,38.301,6.1,3.6
29/06/2023 13:34:42,37.406,38.007,5.53,4
29/06/2023 05:28:07,36.357,37.998,6.98,4.3
28/06/2023 14:14:49,37.09,37.301,12.29,3.6
27/06/2023 19:02:05,37.591,38.368,7.04,3.5
27/06/2023 12:40:06,39.213,38.423,7.75,4.1
27/06/2023 02:08:43,36.248,37.894,7.51,3.8
24/06/2023 16:03:39,36.244,37.896,7.76,3.5
24/06/2023 15:06:33,36.621,37.141,7,3.5
24/06/2023 11:20:09,36.247,37.89,6.08,3.8
23/06/2023 17:14:46,37.691,38.039,7.25,3.8
23/06/2023 17:05:24,37.694,38.05,7,3.8
22/06/2023 14:27:44,37.341,37.631,7,3.6
22/06/2023 05:21:02,38.452,38.104,7.01,4.1
22/06/2023 01:11:45,38.624,38.172,7,3.5
20/06/2023 19:14:31,36.516,37.982,7,3.6
20/06/2023 18:22:47,36.279,37.959,10.39,3.5
20/06/2023 00:14:30,36.554,38.004,6.97,3.7
19/06/2023 18:31:30,36.571,38.003,7,4.7
19/06/2023 01:21:35,36.325,37.945,7,4
19/06/2023 00:30:18,38.075,38.184,3.3,4.4
18/06/2023 20:59:21,36.21,37.855,10.15,4
18/06/2023 15:36:28,38.619,38.202,7.06,4.6
18/06/2023 06:22:03,37.839,38.285,5.26,3.6
18/06/2023 04:56:17,36.6,38.044,11.34,3.5
17/06/2023 22:02:55,37.424,37.658,11.74,4.1
16/06/2023 23:29:34,36.456,37.855,7,3.6
15/06/2023 19:00:31,37.669,37.949,10.09,3.6
15/06/2023 15:58:37,38.427,38.109,8.51,3.6
15/06/2023 11:39:40,36.41,37.99,7.03,3.9
15/06/2023 05:47:37,36.238,36.825,8.06,3.6
15/06/2023 05:14:23,34.694,37.637,6.99,3.8
15/06/2023 04:37:22,36.121,37.534,7.02,3.7
13/06/2023 22:01:52,36.651,37.875,6.6,3.8
12/06/2023 11:01:04,36.247,37.893,7,3.5
11/06/2023 14:57:02,36.257,37.889,7,4.2
11/06/2023 09:40:56,37.565,38.429,7.05,3.6
11/06/2023 04:47:13,36.236,37.888,4.85,4
09/06/2023 03:22:47,36.875,38.119,9.79,3.5
08/06/2023 03:38:41,36.271,37.79,6.99,4.2
07/06/2023 18:23:08,39.389,38.231,7,3.8
07/06/2023 05:07:04,36.581,36.9,13.13,3.7
06/06/2023 03:31:29,37.107,37.59,14.45,3.6
05/06/2023 16:40:47,36.554,37.981,11.41,4.4
05/06/2023 12:39:22,37.719,38.267,10.51,3.5
04/06/2023 01:31:35,38.57,38.184,7.24,3.5
03/06/2023 22:25:20,39.391,38.254,7,4.2
03/06/2023 10:34:21,35.398,37.614,5.36,3.8
02/06/2023 23:07:20,36.895,37.17,8.86,3.5
02/06/2023 07:34:40,37.544,38.452,6.99,3.6
01/06/2023 05:42:13,38.737,37.412,12.83,3.7
31/05/2023 19:46:40,38.754,38.259,7.42,3.5
